年,全国（総数）,全国（男性）,全国（女性）,埼玉（総数）,埼玉（男性）,埼玉（女性）
1920,55963053,28044185,27918868,1319533,641161,678372
1925,59736822,30013109,29723713,1394461,682052,712409
1930,64450005,32390155,32059850,1459172,718779,740393
1935,69254148,34734133,34520015,1528854,753802,775052
1940,73114308,36566010,36548298,1608039,798321,809718
1945,71998104,33894059,38104045,2047261,955753,1091508
1950,84114574,41241192,42873382,2146445,1049695,1096750
1955,90076594,44242657,45833937,2262623,1110083,1152540
1960,94301623,46300445,48001178,2430871,1200573,1230298
1965,99209137,48692138,50516999,3014983,1511947,1503036
1970,104665171,51369177,53295994,3866472,1951219,1915253
1975,111939643,55090673,56848970,4821340,2437128,2384212
1980,117060396,57593769,59466627,5420480,2739175,2681305
1985,121048923,59497316,61551607,5863678,2961591,2902087
1990,123611167,60696724,62914443,6405319,3245868,3159451
1995,125570246,61574398,63995848,6759311,3419218,3340093
2000,126925843,62110764,64815079,6938006,3500224,3437782
2005,127767994,62348977,65419017,7054243,3554843,3499400
2010,128057352,62327737,65729615,7194556,3608711,3585845
2015,127094745,61841738,65253007,7266534,3628418,3638116
2020,126146099,61349581,64796518,7344765,3652169,3692596